Project_Type,Region,State,Client_Type,Contract_Type,Delivery_Method,Complexity_Level,Digital_Coordination_Level,Owner_Decision_Profile,Original_Budget,Planned_Duration_Days,Planned_Percent_Complete,Actual_Percent_Complete,CPI_Snapshot,SPI_Snapshot,Cost_Variance_Pct_Snapshot,Schedule_Variance_Days_Snapshot,Labor_Productivity_Index,Procurement_Delay_Days_to_Date,Weather_Impact_Days_to_Date,Safety_Incident_Rate_to_Date,Snapshot_Data_Completeness_Pct,RFI_Count_to_Date,RFI_Count_per_10M,Avg_RFI_Response_Days,RFI_On_Time_Rate,Overdue_RFI_Rate,High_Critical_Overdue_Rate,RFI_Revision_Rate,RFI_Reopen_Rate,RFI_to_Change_Rate,Approved_Change_Value_Pct_Budget,Pending_Change_Exposure_Pct_Budget,Change_Approval_Cycle_Days,Old_Pending_Change_Rate,Forecast_Incorporation_Lag_Days,Contingency_Utilization_Pct,Revision_Loop_Rate,Workflow_Handoff_Rate,Workflow_Risk_Score_Snapshot,Project_ID,Project_Name
Residential,Midwest,OH,Private,Unit Price,Design-Bid-Build,Low,Low,Standard,54464000,678,0.378,0.3157,0.8427,0.8147,0.0509,42,0.9626,0,19,0.766,0.9509,18,3.305,8.847,0.2564,0.3728,0.0973,0.1186,0.0477,0.26,0.0125,0.0,14.643,0.1235,1.273,0.1686,0.1308,0.2536,1,PRJ3-00019,Harbor Neighborhood 19
Institutional,Southeast,VA,Private,Guaranteed Maximum Price,CMAR,High,High,Standard,113971800,825,0.361,0.3745,0.9389,1.0085,0.0116,-11,0.8955,21,12,0.377,0.9515,68,5.966,9.943,0.1762,0.3809,0.0645,0.0991,0.0315,0.2548,0.0435,0.019,15.262,0.3269,1.892,0.2854,0.1948,0.3438,3,PRJ3-00025,Harbor Civic Complex 25
Residential,Midwest,MO,Private,Guaranteed Maximum Price,IPD,Moderate,Low,Standard,92534900,534,0.383,0.3819,1.0305,0.9808,-0.0007,1,1.0443,19,8,0.456,0.9465,58,6.268,8.631,0.3433,0.4184,0.1004,0.2428,0.0464,0.1257,0.0149,0.0059,30.172,0.2649,7.212,0.2524,0.3349,0.2896,4,PRJ3-00030,Mesa Apartments 30
Residential,Northeast,PA,Private,Lump Sum,Design-Build,Low,Low,Fast,53542600,629,0.394,0.4185,0.9314,1.002,0.0175,-15,1.0222,0,17,0.609,0.9679,23,4.296,5.035,0.3801,0.1933,0.0239,0.0189,0.0001,0.0475,0.0184,0.0096,21.774,0.3539,2.869,0.3611,0.2018,0.3613,2,PRJ3-00033,Evergreen Residences 33
Residential,Southeast,TN,Private,Guaranteed Maximum Price,Design-Bid-Build,Very High,Low,Slow,128946600,871,0.356,0.3425,0.9118,0.9217,0.0267,12,0.9685,38,27,0.918,0.9482,106,8.22,14.914,0.08,0.595,0.1517,0.2155,0.0654,0.2764,0.0454,0.0628,35.6,0.4854,10.258,0.5282,0.3532,0.3101,8,PRJ3-00034,Horizon Neighborhood 34
Heavy Civil,Southwest,NM,Private,Cost Plus,Design-Build,Moderate,Moderate,Slow,382453500,784,0.396,0.3773,0.8807,0.9496,0.034,15,0.9976,20,1,0.491,0.9316,193,5.046,8.468,0.2317,0.3138,0.1033,0.0709,0.0056,0.0362,0.029,0.0347,33.058,0.496,10.216,0.4662,0.2207,0.4041,5,PRJ3-00040,Granite Bridge Program 40
Residential,West,OR,Private,Cost Plus,Design-Bid-Build,Moderate,Moderate,Fast,32850400,822,0.477,0.466,1.0006,0.9823,-0.0173,9,0.9274,5,12,0.61,0.9764,22,6.697,2.0,0.6488,0.1384,0.0806,0.0853,0.0707,0.0997,0.0094,0.0,9.21,0.2057,0.546,0.2476,0.1053,0.3126,1,PRJ3-00043,Granite Neighborhood 43
Residential,Mountain,ID,Public,Guaranteed Maximum Price,CMAR,Moderate,Moderate,Standard,50073000,621,0.414,0.4343,1.0437,1.0067,-0.0274,-13,1.034,0,0,0.712,0.9855,28,5.592,7.107,0.2686,0.2531,0.1013,0.1448,0.0675,0.1098,0.0452,0.0196,15.291,0.3406,5.451,0.219,0.2104,0.2516,2,PRJ3-00044,Granite Neighborhood 44
Infrastructure,Southeast,GA,Private,Lump Sum,Design-Build,Moderate,Moderate,Fast,230732700,1434,0.471,0.4779,1.0149,1.0265,-0.0149,-10,0.9894,23,22,0.328,0.966,99,4.291,7.681,0.4738,0.2251,0.0873,0.0879,0.0754,0.0869,0.027,0.0,11.151,0.1635,0.276,0.3198,0.1133,0.3397,1,PRJ3-00056,Canyon Transit Program 56
Institutional,Southeast,GA,Public,Unit Price,Design-Build,Very High,Moderate,Standard,118084300,1282,0.546,0.5014,0.9748,0.9474,0.0038,57,0.9383,29,20,0.402,0.9517,64,5.42,5.011,0.5158,0.2783,0.1361,0.1038,0.0343,0.305,0.0466,0.026,20.174,0.2577,2.419,0.2134,0.1806,0.3889,3,PRJ3-00062,Copper Medical Center 62
Commercial,Midwest,OH,Private,Lump Sum,IPD,Very High,Low,Standard,111691000,781,0.583,0.5408,0.8762,0.955,0.0708,33,0.9769,13,17,0.411,0.951,71,6.357,13.692,0.08,0.39,0.1263,0.3188,0.102,0.2934,0.0605,0.0334,29.595,0.3482,3.23,0.5033,0.359,0.2319,5,PRJ3-00064,Gateway Office Campus 64
Residential,Southeast,NC,Public,Lump Sum,Design-Bid-Build,Moderate,Moderate,Standard,74410300,791,0.469,0.5041,0.8886,1.0431,0.0738,-28,0.9488,14,20,0.538,0.9829,21,2.822,7.423,0.502,0.2504,0.0706,0.1165,0.0331,0.1179,0.054,0.0359,12.668,0.2247,4.453,0.4683,0.1768,0.1435,3,PRJ3-00065,Cedar Residences 65
Commercial,Midwest,MI,Private,Lump Sum,CMAR,High,High,Standard,162668200,720,0.472,0.4885,0.9788,1.0071,0.0239,-12,0.9843,18,10,0.408,0.9729,82,5.041,7.372,0.294,0.1207,0.0573,0.2211,0.0519,0.1969,0.049,0.0368,15.117,0.1891,5.319,0.2654,0.2759,0.3335,3,PRJ3-00072,Evergreen Corporate Center 72
Heavy Civil,Midwest,OH,Private,Guaranteed Maximum Price,CMAR,High,Low,Standard,96284900,996,0.367,0.3202,0.9282,0.877,0.0328,47,0.8914,48,5,0.948,0.9672,48,4.985,11.789,0.08,0.4712,0.0771,0.1317,0.0342,0.0569,0.0725,0.0159,18.082,0.4044,7.858,0.2993,0.1216,0.2738,4,PRJ3-00084,Gateway Earthworks Package 84
Heavy Civil,Southwest,NM,Private,Unit Price,IPD,Moderate,Moderate,Fast,210479200,1201,0.513,0.5247,0.9196,0.9871,0.0287,-14,1.0377,0,11,0.711,0.9742,87,4.133,8.416,0.2102,0.2455,0.0778,0.0677,0.0407,0.1144,0.0285,0.0,20.851,0.206,0.868,0.266,0.2604,0.2863,1,PRJ3-00086,Pioneer Bridge Program 86
Mixed-Use,Southwest,AZ,Public,Cost Plus,Design-Bid-Build,Very High,Low,Fast,112009700,1038,0.558,0.4826,0.839,0.8883,0.0902,78,0.8042,23,0,1.028,0.945,73,6.517,15.538,0.08,0.5584,0.1477,0.2066,0.0354,0.2813,0.0424,0.0456,27.479,0.2873,3.969,0.3766,0.3039,0.3676,6,PRJ3-00088,Harbor District 88
Commercial,Northeast,PA,Private,Cost Plus,Design-Bid-Build,Moderate,High,Standard,60325300,696,0.415,0.4054,1.0158,1.0123,-0.0137,7,1.0984,4,13,0.284,0.9752,37,6.133,7.631,0.3745,0.3689,0.0615,0.132,0.0222,0.1499,0.0183,0.0292,25.599,0.3699,4.722,0.29,0.2712,0.4026,4,PRJ3-00091,Northstar Corporate Center 91
Mixed-Use,Mountain,MT,Private,Guaranteed Maximum Price,CMAR,High,Low,Standard,91607000,1187,0.444,0.4394,0.9645,0.9838,0.0228,5,0.9889,15,6,0.763,0.9585,71,7.75,12.39,0.161,0.3297,0.0866,0.1526,0.0713,0.2915,0.0339,0.0593,26.896,0.3223,1.298,0.2892,0.2205,0.3576,5,PRJ3-00095,Harbor Transit-Oriented Development 95
Heavy Civil,West,NV,Private,Lump Sum,Design-Build,Low,Moderate,Fast,151774500,1165,0.451,0.4573,1.0008,1.0433,-0.0099,-7,0.954,6,11,0.0,0.9834,57,3.756,6.573,0.2251,0.1473,0.0561,0.0405,0.0063,0.02,0.0214,0.0009,12.258,0.1992,5.793,0.2554,0.1546,0.3276,1,PRJ3-00097,Crescent Bridge Program 97
